,customerID,tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Average_tenure_Charges,Average_Annual_Charges
0,7590-VHVEG,1,No,Month-to-month,Electronic check,29.85,29.85,0,29.85,12.0
1,5575-GNVDE,34,Yes,One year,Mailed check,56.95,1889.5,0,55.5735294117647,398.13871817383665
2,3668-QPYBK,2,Yes,Month-to-month,Mailed check,53.85,108.15,1,54.075,24.100278551532032
3,7795-CFOCW,45,No,One year,Bank transfer (automatic),42.3,1840.75,0,40.90555555555556,522.1985815602837
4,9237-HQITU,2,Yes,Month-to-month,Electronic check,70.7,151.65,1,75.825,25.73974540311174
5,9305-CDSKC,8,Yes,Month-to-month,Electronic check,99.65,820.5,1,102.5625,98.80582037129955
6,1452-KIOVK,22,Yes,Month-to-month,Credit card (automatic),89.1,1949.4,0,88.60909090909091,262.5454545454546
7,6713-OKOMC,10,No,Month-to-month,Mailed check,29.75,301.9,0,30.189999999999998,121.77478991596638
8,7892-POOKP,28,Yes,Month-to-month,Electronic check,104.8,3046.05,1,108.78750000000001,348.78435114503816
9,6388-TABGU,62,Yes,One year,Bank transfer (automatic),56.15,3487.95,0,56.25725806451613,745.4211932324132
10,9763-GRSKD,13,Yes,Month-to-month,Mailed check,49.95,587.45,0,45.18846153846154,141.12912912912913
11,7469-LKBCI,16,Yes,Two year,Credit card (automatic),18.95,326.8,0,20.425,206.94459102902374
12,8091-TTVAX,58,Yes,One year,Credit card (automatic),100.35,5681.1,0,97.95,679.3542600896861
13,0280-XJGEX,49,Yes,Month-to-month,Bank transfer (automatic),103.7,5036.3,1,102.78163265306122,582.7926711668274
14,5129-JLPIS,25,Yes,Month-to-month,Electronic check,105.5,2686.05,0,107.44200000000001,305.52227488151664
15,3655-SNQYZ,69,Yes,Two year,Credit card (automatic),113.25,7895.15,0,114.42246376811593,836.5721854304636
16,8191-XWSZG,52,Yes,One year,Mailed check,20.65,1022.95,0,19.672115384615385,594.450363196126
17,9959-WOFKT,71,Yes,Two year,Bank transfer (automatic),106.7,7382.25,0,103.97535211267606,830.2436738519211
18,4190-MFLUW,10,Yes,Month-to-month,Credit card (automatic),55.2,528.35,1,52.835,114.8586956521739
19,4183-MYFRB,21,Yes,Month-to-month,Electronic check,90.05,1862.9,0,88.70952380952382,248.24875069405886
20,8779-QRDMV,1,No,Month-to-month,Electronic check,39.65,39.65,1,39.65,12.0
21,1680-VDCWW,12,Yes,One year,Bank transfer (automatic),19.8,202.25,0,16.854166666666668,122.57575757575756
22,1066-JKSGK,1,Yes,Month-to-month,Mailed check,20.15,20.15,1,20.15,12.0
23,3638-WEABW,58,Yes,Two year,Credit card (automatic),59.9,3505.1,0,60.432758620689654,702.1903171953256
24,6322-HRPFA,49,Yes,Month-to-month,Credit card (automatic),59.6,2970.3,0,60.61836734693878,598.0469798657718
25,6865-JZNKO,30,Yes,Month-to-month,Bank transfer (automatic),55.3,1530.6,0,51.019999999999996,332.1374321880651
26,6467-CHFZW,47,Yes,Month-to-month,Electronic check,99.35,4749.15,1,101.04574468085106,573.6265727226975
27,8665-UTDHZ,1,No,Month-to-month,Electronic check,30.2,30.2,1,30.2,12.0
28,5248-YGIJN,72,Yes,Two year,Credit card (automatic),90.25,6369.45,0,88.46458333333334,846.9074792243766
29,8773-HHUOZ,17,Yes,Month-to-month,Mailed check,64.7,1093.1,1,64.3,202.73879443585778
30,3841-NFECX,71,Yes,Two year,Credit card (automatic),96.35,6766.95,0,95.30915492957746,842.7960560456669
31,4929-XIHVW,2,Yes,Month-to-month,Credit card (automatic),95.5,181.65,0,90.825,22.825130890052357
32,6827-IEAUQ,27,Yes,One year,Mailed check,66.15,1874.45,0,69.42407407407407,340.0362811791383
33,7310-EGVHZ,1,Yes,Month-to-month,Bank transfer (automatic),20.2,20.2,0,20.2,12.0
34,3413-BMNZE,1,Yes,Month-to-month,Bank transfer (automatic),45.25,45.25,0,45.25,12.0
35,6234-RAAPL,72,Yes,Two year,Bank transfer (automatic),99.9,7251.7,0,100.71805555555555,871.0750750750749
36,6047-YHPVI,5,Yes,Month-to-month,Electronic check,69.7,316.9,1,63.379999999999995,54.55954088952653
37,6572-ADKRS,46,Yes,Month-to-month,Credit card (automatic),74.8,3548.3,0,77.13695652173914,569.245989304813
38,5380-WJKOV,34,Yes,Month-to-month,Electronic check,106.35,3549.25,1,104.38970588235294,400.4795486600847
39,8168-UQWWF,11,Yes,Month-to-month,Bank transfer (automatic),97.85,1105.4,1,100.4909090909091,135.56259580991315
40,8865-TNMNX,10,Yes,One year,Mailed check,49.55,475.7,0,47.57,115.20484359233099
41,9489-DEDVP,70,Yes,Two year,Credit card (automatic),69.2,4872.35,0,69.605,844.9161849710982
42,9867-JCZSP,17,Yes,One year,Mailed check,20.75,418.25,0,24.602941176470587,241.87951807228916
43,4671-VJLCL,63,Yes,Two year,Credit card (automatic),79.85,4861.45,0,77.16587301587302,730.587351283657
44,4080-IIARD,13,Yes,Month-to-month,Electronic check,76.2,981.45,0,75.49615384615385,154.55905511811025
45,3714-NTNFO,49,Yes,Month-to-month,Electronic check,84.5,3906.7,0,79.72857142857143,554.7976331360946
46,5948-UJZLF,2,Yes,Month-to-month,Mailed check,49.25,97.0,0,48.5,23.63451776649746
47,7760-OYPDY,2,Yes,Month-to-month,Electronic check,80.65,144.15,1,72.075,21.44823310601364
48,7639-LIAYI,52,Yes,Two year,Credit card (automatic),79.75,4217.8,0,81.11153846153846,634.6532915360501
49,2954-PIBKO,69,Yes,Two year,Credit card (automatic),64.15,4254.1,0,61.6536231884058,795.7786438035853
50,8012-SOUDQ,43,Yes,Month-to-month,Electronic check,90.25,3838.75,0,89.27325581395348,510.4155124653739
51,9420-LOJKX,15,Yes,Month-to-month,Credit card (automatic),99.1,1426.4,1,95.09333333333333,172.72250252270436
52,6575-SUVOI,25,Yes,Month-to-month,Credit card (automatic),69.5,1752.65,0,70.10600000000001,302.6158273381295
53,7495-OOKFY,8,Yes,Month-to-month,Credit card (automatic),80.65,633.3,1,79.1625,94.22938623682577
54,4667-QONEA,60,Yes,One year,Credit card (automatic),74.85,4456.35,0,74.27250000000001,714.4448897795593
55,1658-BYGOY,18,Yes,Month-to-month,Electronic check,95.45,1752.55,1,97.36388888888888,220.33106338397064
56,8769-KKTPH,63,Yes,One year,Credit card (automatic),99.65,6311.2,0,100.17777777777778,760.004014049172
57,5067-XJQFU,66,Yes,One year,Electronic check,108.45,7076.35,0,107.21742424242424,782.9986168741357
58,3957-SQXML,34,Yes,Two year,Credit card (automatic),24.95,894.3,0,26.302941176470586,430.124248496994
59,5954-BDFSG,72,Yes,Two year,Credit card (automatic),107.5,7853.7,0,109.07916666666667,876.6920930232558
60,0434-CSFON,47,Yes,Month-to-month,Electronic check,100.5,4707.1,0,100.15106382978725,562.0417910447762
61,1215-FIGMP,60,Yes,Month-to-month,Bank transfer (automatic),89.9,5450.7,0,90.845,727.5684093437152
62,0526-SXDJP,72,No,Two year,Bank transfer (automatic),42.1,2962.0,0,41.138888888888886,844.2755344418052
63,0557-ASKVU,18,Yes,One year,Credit card (automatic),54.4,957.1,0,53.172222222222224,211.125
64,5698-BQJOH,9,Yes,Month-to-month,Electronic check,94.4,857.25,1,95.25,108.97245762711864
65,5122-CYFXA,3,Yes,Month-to-month,Electronic check,75.3,244.1,0,81.36666666666666,38.90039840637451
66,8627-ZYGSZ,47,Yes,One year,Electronic check,78.9,3650.35,0,77.66702127659575,555.1863117870722
67,3410-YOQBQ,31,Yes,Two year,Mailed check,79.2,2497.2,0,80.55483870967741,378.3636363636363
68,3170-NMYVV,50,Yes,Two year,Bank transfer (automatic),20.15,930.9,0,18.618,554.3821339950373
69,7410-OIEDU,10,Yes,Month-to-month,Mailed check,79.85,887.35,0,88.735,133.35253600500943
70,2273-QCKXA,1,Yes,Month-to-month,Mailed check,49.05,49.05,0,49.05,12.0
71,0731-EBJQB,52,Yes,One year,Electronic check,20.4,1090.65,0,20.974038461538463,641.5588235294118
72,1891-QRQSA,64,Yes,Two year,Bank transfer (automatic),111.6,7099.0,0,110.921875,763.3333333333334
73,8028-PNXHQ,62,Yes,Two year,Bank transfer (automatic),24.25,1424.6,0,22.97741935483871,704.9567010309278
74,5630-AHZIL,3,Yes,Month-to-month,Bank transfer (automatic),64.5,177.4,0,59.13333333333333,33.0046511627907
75,2673-CXQEU,56,Yes,One year,Electronic check,110.5,6139.5,0,109.63392857142857,666.7330316742082
76,6416-JNVRK,46,Yes,One year,Credit card (automatic),55.65,2688.85,0,58.45326086956521,579.8059299191375
77,5590-ZSKRV,8,Yes,Month-to-month,Mailed check,54.65,482.25,0,60.28125,105.89204025617568
78,0191-ZHSKZ,30,Yes,Month-to-month,Electronic check,74.75,2111.3,0,70.37666666666668,338.9377926421405
79,3887-PBQAO,45,Yes,One year,Credit card (automatic),25.9,1216.6,0,27.035555555555554,563.6756756756757
80,5919-TMRGD,1,Yes,Month-to-month,Electronic check,79.35,79.35,1,79.35,12.0
